Collision_ID,Crash_Date,Vehicle_Type
4464909,02-10-2021 21:30,Sedan
4464684,02-10-2021 21:30,SUV
4463602,02-10-2021 21:30,SUV
4464033,02-10-2021 21:30,SUV
4463634,02-10-2021 21:30,Sedan
4463654,02-10-2021 21:39,Sedan
4463814,02-10-2021 21:57,Two Wheeler
4466098,02-10-2021 22:00,Two Wheeler
4467878,02-10-2021 22:00,Sedan
4464225,02-10-2021 22:10,SUV
4463612,02-10-2021 22:15,Two Wheeler
4463914,02-10-2021 22:15,SUV
4463828,02-10-2021 22:16,Two Wheeler
4463609,02-10-2021 22:20,Sedan
4463633,02-10-2021 22:21,SUV
4463779,02-10-2021 22:24,SUV
4464179,02-10-2021 22:25,Sedan
4463680,02-10-2021 22:25,Sedan
4465534,02-10-2021 22:30,Sedan
4464371,02-10-2021 22:30,Sedan
4463883,02-10-2021 22:30,Sedan
4464494,02-10-2021 22:30,Sedan
4464065,02-10-2021 22:38,Sedan
4463743,02-10-2021 22:44,Sedan
4463909,02-10-2021 22:45,Heavy Vehicle
4463658,02-10-2021 22:45,Sedan
4464094,02-10-2021 23:00,Sedan
4464092,02-10-2021 23:00,SUV
4463931,02-10-2021 23:00,Sedan
4463949,02-10-2021 23:00,Sedan
4464585,02-10-2021 23:04,SUV
4463887,02-10-2021 23:10,Sedan
4463704,02-10-2021 23:20,Heavy Vehicle
4464255,02-10-2021 23:30,SUV
4469745,02-10-2021 23:35,Two Wheeler
4463726,02-10-2021 23:45,SUV
4463925,02-10-2021 23:45,Sedan
4463874,03-10-2021 00:00,Sedan
4464078,03-10-2021 00:00,Two Wheeler
4464727,03-10-2021 00:00,SUV
4464402,03-10-2021 00:00,Taxi
4464045,03-10-2021 00:04,Heavy Vehicle
4463727,03-10-2021 00:15,SUV
4464344,03-10-2021 00:17,SUV
4463884,03-10-2021 00:48,Sedan
4463901,03-10-2021 00:57,Taxi
4463900,03-10-2021 01:05,Commercial Vehicle
4463935,03-10-2021 01:05,Taxi
4464053,03-10-2021 01:35,SUV
4463655,03-10-2021 01:36,Sedan
4463910,03-10-2021 02:15,SUV
4463970,03-10-2021 02:30,SUV
4463952,03-10-2021 03:00,SUV
4464156,03-10-2021 03:12,Sedan
4463902,03-10-2021 03:17,Sedan
4463744,03-10-2021 03:55,SUV
4463913,03-10-2021 03:55,SUV
4463951,03-10-2021 04:00,Two Wheeler
4463821,03-10-2021 04:00,Sedan
4464057,03-10-2021 04:15,Sedan
