Crash_Day,Crash_Date,Borough,Latitude,Longitude,Number_of_Persons_Injured,Aftermath of Accident,Number_of_Persons_Killed,Contributing_Factor,Collision_ID
Friday,01-10-2021 19:41,MANHATTAN,40.749603,-73.97951,0,No Injury,0,Driver Inexperience,4463255
Friday,01-10-2021 19:43,BROOKLYN,40.588486,-73.98552,0,No Injury,0,Unsafe Speed,4463274
Friday,01-10-2021 19:45,QUEENS,40.68046,-73.84309,0,No Injury,0,Backing Unsafely,4463708
Friday,01-10-2021 19:47,BRONX,40.84438,-73.86583,3,Injured,0,Alcohol Involvement,4464731
Friday,01-10-2021 20:03,BROOKLYN,40.651424,-74.00742,1,Injured,0,Driver Inattention,4463339
Friday,01-10-2021 20:15,QUEENS,40.672314,-73.8036,1,Injured,0,Failure to Yield Right-of-Way,4463790
Friday,01-10-2021 20:15,MANHATTAN,40.801155,-73.959656,0,No Injury,0,Failure to Yield Right-of-Way,4463275
Friday,01-10-2021 20:18,BROOKLYN,40.64485,-73.911125,1,Injured,0,Driver Inattention,4464070
Friday,01-10-2021 20:30,BROOKLYN,40.640682,-73.995476,0,No Injury,0,Driver Inattention,4463367
Friday,01-10-2021 20:34,QUEENS,40.71307,-73.75362,0,No Injury,0,Following Too Closely,4463669
Friday,01-10-2021 20:35,QUEENS,40.697205,-73.81334,1,Injured,0,Passing or Lane Usage Improper,4463761
Friday,01-10-2021 20:45,QUEENS,40.696976,-73.79276,0,No Injury,0,Passing or Lane Usage Improper,4463963
Friday,01-10-2021 20:56,BROOKLYN,40.66968,-73.91075,0,No Injury,0,Failure to Yield Right-of-Way,4463403
Friday,01-10-2021 22:01,MANHATTAN,40.772156,-73.95591,0,No Injury,0,Driver Inattention,4464351
Friday,01-10-2021 22:09,BRONX,40.87391,-73.909164,1,Injured,0,Unsafe Lane Changing,4464834
Friday,01-10-2021 22:14,BROOKLYN,40.620914,-73.9753,1,Injured,0,Driver Inattention,4463366
Friday,01-10-2021 22:34,BRONX,40.85153,-73.8649,2,Injured,0,Passing Too Closely,4464736
